DateTime,Players,PlayersTrend,TwitchViewers
2022/4/18 9:00,542038,561789.6667,119216
2022/4/18 10:00,574083,561968.6538,163943
2022/4/18 11:00,674969,562513.7433,168222
2022/4/18 12:00,773878,563333.8536,226647
2022/4/18 13:00,850323,564238.9256,252092
2022/4/18 14:00,848968,564668.4803,299373
2022/4/18 15:00,794129,564934.7427,343771
2022/4/18 16:00,700888,565294.7589,248387
2022/4/18 17:00,680349,565917.169,254303
2022/4/18 18:00,687081,566387.5073,279340
2022/4/18 19:00,677383,566783.8032,63581
2022/4/18 20:00,634694,566965.8762,76384
2022/4/18 21:00,535450,566064.1113,71532
2022/4/18 22:00,456454,565110.3462,61946
2022/4/18 23:00,363329,563564.3043,45980
2022/4/19 0:00,358604,563028.645,44493
2022/4/19 1:00,356578,560498.8632,28570
2022/4/19 2:00,369529,558733.1989,23266
2022/4/19 3:00,369730,557208.7889,38265
2022/4/19 4:00,388978,555780.4038,25289
2022/4/19 5:00,400172,554615.462,19540
2022/4/19 6:00,426476,553616.2876,21082
2022/4/19 7:00,483069,553135.3578,23427
2022/4/19 8:00,535800,552412.7303,35802
2022/4/19 9:00,546892,551504.6558,96710
2022/4/19 10:00,576686,550412.4815,111411
2022/4/19 11:00,670781,549660.6635,152875
2022/4/19 12:00,760260,548539.5624,234617
2022/4/19 13:00,822904,548189.4926,292520
2022/4/19 14:00,822907,548541.5205,374474
2022/4/19 15:00,781739,549092.2379,231622
2022/4/19 16:00,697766,549194.2073,248915
2022/4/19 17:00,672556,548908.2394,252661
2022/4/19 18:00,678710,548793.1832,226013
2022/4/19 19:00,669432,548691.1857,193288
2022/4/19 20:00,612792,548441.5434,56840
2022/4/19 21:00,523484,548079.2093,51585
2022/4/19 22:00,442638,547599.0158,41544
2022/4/19 23:00,377038,547133.1864,36572
2022/4/20 0:00,320267,546191.9615,24796
2022/4/20 1:00,336482,545988.4381,25565
2022/4/20 2:00,355848,545795.1615,27055
2022/4/20 3:00,355735,545978.4292,20433
2022/4/20 4:00,380405,546386.1615,15726
2022/4/20 5:00,392082,546780.0064,13952
2022/4/20 6:00,423832,547063.0476,24696
2022/4/20 7:00,465417,546803.3664,103252
2022/4/20 8:00,507799,546475.1642,139896
2022/4/20 9:00,513640,546201.7833,155860
2022/4/20 10:00,553821,545899.3528,164242
2022/4/20 11:00,638898,545434.1706,195303
2022/4/20 12:00,753038,545553.3511,212608
2022/4/20 13:00,836030,545909.6186,219909
2022/4/20 14:00,839444,546055.0979,242482
2022/4/20 15:00,783424,545998.1317,111650
2022/4/20 16:00,689127,545935.2645,84914
2022/4/20 17:00,669142,546221.6603,83412
2022/4/20 18:00,675656,546595.3153,86725
2022/4/20 19:00,665626,547029.9283,78730
2022/4/20 20:00,603132,547406.0244,76241
2022/4/20 21:00,510756,547977.9253,69587
2022/4/20 22:00,422387,548408.1435,79116
2022/4/20 23:00,357046,548763.9172,55057
2022/4/21 0:00,318098,549290.0875,53466
2022/4/21 1:00,332863,549691.2313,32739
2022/4/21 2:00,364517,550006.0224,32536
2022/4/21 3:00,370139,550287.8802,30398
2022/4/21 4:00,394556,550464.4872,21170
2022/4/21 5:00,400991,550645.4312,16023
2022/4/21 6:00,420645,550866.7032,15142
2022/4/21 7:00,464176,551363.6718,15791
2022/4/21 8:00,510921,551954.2502,34702
2022/4/21 9:00,512145,552529.712,152736
2022/4/21 10:00,550927,553257.3107,181618
2022/4/21 11:00,645923,554510.6043,140178
2022/4/21 12:00,759482,556040.8262,150742
2022/4/21 13:00,833430,557571.4578,160994
2022/4/21 14:00,836345,558573.9808,212935
2022/4/21 15:00,785012,559697.6859,235720
2022/4/21 16:00,700843,561785.4221,198255
2022/4/21 17:00,684105,563935.1948,173720
2022/4/21 18:00,693564,565326.3918,195120
2022/4/21 19:00,684911,566282.818,182741
2022/4/21 20:00,631923,567470.0999,70375
2022/4/21 21:00,539244,569248.3511,65672
2022/4/21 22:00,448814,571676.4438,53456
2022/4/21 23:00,380276,573948.2182,54689
2022/4/22 0:00,337866,575707.5996,33998
2022/4/22 1:00,342033,576788.3079,25153
2022/4/22 2:00,368725,577714.7347,19320
2022/4/22 3:00,370128,578862.0587,15363
2022/4/22 4:00,397968,580150.7853,14790
2022/4/22 5:00,414275,581727.6763,12983
2022/4/22 6:00,444181,584431.4529,12985
2022/4/22 7:00,488931,587542.8237,13022
2022/4/22 8:00,538917,590652.9078,32639
2022/4/22 9:00,548247,593540.1001,149850
2022/4/22 10:00,602568,596572.1497,129964
2022/4/22 11:00,710926,598855.3321,145002
2022/4/22 12:00,833153,600829.6018,170745
2022/4/22 13:00,885894,601849.6095,188310
2022/4/22 14:00,891414,603066.7964,215089
2022/4/22 15:00,875825,605097.0789,186879
2022/4/22 16:00,793342,606667.0602,197958
2022/4/22 17:00,740692,607474.7308,194101
2022/4/22 18:00,729473,607575.8023,68927
2022/4/22 19:00,722920,607881.1938,65976
2022/4/22 20:00,698648,609048.2727,93577
2022/4/22 21:00,640343,611140.9342,96055
2022/4/22 22:00,547386,613028.8459,96159
2022/4/22 23:00,459014,614664.1452,44524
2022/4/23 0:00,395590,615809.7705,40258
2022/4/23 1:00,398669,616902.6847,43816
2022/4/23 2:00,442836,618210.4191,43500
2022/4/23 3:00,449499,619567.0708,17826
2022/4/23 4:00,482696,621163.378,16060
2022/4/23 5:00,548478,624348.1778,17708
2022/4/23 6:00,601850,628027.3942,17356
2022/4/23 7:00,645961,631764.1575,16652
2022/4/23 8:00,676438,635102.4477,27942
2022/4/23 9:00,675811,638374.271,101938
2022/4/23 10:00,671047,640004.9016,130870
2022/4/23 11:00,749346,641169.7226,122522
2022/4/23 12:00,845192,641664.4517,125549
2022/4/23 13:00,904636,642450.6716,139544
2022/4/23 14:00,903878,642896.4127,218627
2022/4/23 15:00,854996,642332.6864,235459
2022/4/23 16:00,778917,641855.5557,258939
2022/4/23 17:00,713192,640869.8341,309823
2022/4/23 18:00,709581,640247.0503,170708
2022/4/23 19:00,707973,639854.4968,174939
2022/4/23 20:00,681708,639310.3,187124
2022/4/23 21:00,610218,638049.6911,190141
2022/4/23 22:00,532511,637177.6945,135696
2022/4/23 23:00,446884,636295.8575,129165
2022/4/24 0:00,379396,635507.5574,124954
2022/4/24 1:00,360171,634209.5806,91243
2022/4/24 2:00,392948,632665.2838,39790
2022/4/24 3:00,401416,631031.2559,28776
2022/4/24 4:00,442881,629601.7458,24804
2022/4/24 5:00,487736,627304.0954,24835
2022/4/24 6:00,538598,624649.7364,30308
2022/4/24 7:00,588005,622049.271,86471
2022/4/24 8:00,629386,619829.5417,108913
2022/4/24 9:00,631746,617791.4085,148671
2022/4/24 10:00,660020,616965.7059,160284
2022/4/24 11:00,747625,616684.5394,167103
2022/4/24 12:00,850662,616144.7722,194678
2022/4/24 13:00,895952,614481.5483,221827
2022/4/24 14:00,896548,612595.7944,221879
2022/4/24 15:00,837307,610319.8003,61522
2022/4/24 16:00,751575,608026.2527,78931
2022/4/24 17:00,698124,606686.4852,147760
2022/4/24 18:00,702221,605946.3262,180761
2022/4/24 19:00,691697,604839.7687,210569
2022/4/24 20:00,633972,602585.2143,142280
2022/4/24 21:00,548947,600128.1124,105470
2022/4/24 22:00,456939,597590.3402,175671
2022/4/24 23:00,394875,596477.6179,185488
2022/4/25 0:00,354492,596769.0407,210623
2022/4/25 1:00,353659,598012.6588,227492
2022/4/25 2:00,369459,598584.105,149710
2022/4/25 3:00,368909,598690.2914,46058
2022/4/25 4:00,390485,597984.4164,73153
2022/4/25 5:00,396904,595570.9181,66516
2022/4/25 6:00,425966,592187.8143,62123
2022/4/25 7:00,470590,588381.4536,58427
2022/4/25 8:00,518599,584526.0471,61954
2022/4/25 9:00,520695,580321,62424
